COD,PRODUTO,UNIDADE DE MEDIDA,PREÇO,QUANTIDADE
1,Feijão,Pacote,"R$ 0,30",0
2,Arroz,Pacote,"R$ 0,63",0
3,Fubá,Pacote,"R$ 1,40",0
4,Milho Verde,Lata,"R$ 0,40",0
5,Ervilha,Lata,"R$ 0,40",0
6,Farinha,Pacote,"R$ 0,85",0
7,Tomate,Quilo,"R$ 0,33",0
8,Laranja,Quilo,"R$ 0,54",0
9,Limão,Quilo,"R$ 0,54",0
10,Macaxeira,Quilo,"R$ 0,60",0
11,Pimentão,Quilo,"R$ 0,33",0
12,Queijo,Quilo,"R$ 8,8",0
13,Presunto,Quilo,"R$ 4,8",0
14,Carne,Quilo,"R$ 4,97",0
15,Salsicha,Quilo,"R$ 0,64",0
16,Peixe,Quilo,"R$ 2,50",0
17,Margarina,Lata,"R$ 1,9",0
